"userId","userStatus","Amount","TopUp","Voice_MO","Voice_MT","Data_Volume","Tenure"
"100180000035115144",ACTIVE30,40.0885,26.0864,85.33334,70.06669,10.48622,0.5260
"100190000036023034",ACTIVE30,32.7624,17.3909,38.88335,191.88331,45.30739,0.3068
"100170000037148355",ACTIVE30,0.0,0.0,0.08333,2.43333,0.0,0.0164
"100080000034888071",ACTIVE30,123.475,130.4318,15.48333,16.28332,18366.695,0.5918
"100130000034618884",ACTIVE30,0.0,0.0,0.0,10.53333,0.13256,0.6438
"100000000032842724",ACTIVE30,0.0,0.0,0.0,0.0,0.0,1.0932
"100230000036938566",ACTIVE30,38.1,43.4773,460.4,1.06667,0.0,0.0658
"100140000030639952",ACTIVE30,0.0,0.0,0.0,0.0,0.0,0.6575
"100140000036009888",ACTIVE30,0.5859,0.0,0.0,0.43333,4.71458,0.2986
"100230000035292875",ACTIVE30,108.4655,86.9545,191.63335,270.08333,161.8596,0.4712
"100030000008805251",ACTIVE30,2.5626,0.0,3.86666,5.9,0.06318,6.2986
"100140000034227623",ACTIVE30,36.651,34.7818,18.24999,36.71667,0.12963,0.7671
"100050000008510593",ACTIVE30,17.4792,34.7818,19.25,0.0,0.06064,6.7671
"100090000035087459",ACTIVE30,0.0,0.0,0.0,1.9,0.0,0.5233
"100020000008849721",ACTIVE30,0.25,0.0,0.0,0.0,706.9686,6.2658
"100070000034559134",ACTIVE30,0.0,0.0,0.0,0.0,0.0,0.5452
"100020000028997840",ACTIVE30,0.0,0.0,0.0,3.23334,0.0,2.3918
"100210000034518342",ACTIVE30,0.0,0.0,0.0,0.03333,0.0,0.6493
"100070000036149638",ACTIVE30,0.0,0.0,0.0,0.0,0.0,0.1479
"100180000037009196",ACTIVE30,65.22,65.22,218.56665,5.00001,13194.697,0.0685
"100070000031825020",ACTIVE30,0.0,0.0,0.0,0.6,0.0117,1.4521
"100130000029567310",ACTIVE30,0.0,0.0,0.0,0.03333,0.0,1.9945
"100130000034187898",ACTIVE30,2.35,0.0,0.0,0.0,0.0,0.7726
"100050000035314218",ACTIVE30,111.8447,104.3454,93.65001,10.35,0.00776,0.4630
"100010000033643776",ACTIVE30,0.0,0.0,0.0,0.53333,0.0,1.0219
"100000000029672696",ACTIVE30,0.0,0.0,0.0,0.01667,0.5848,2.0493
"100140000031143616",ACTIVE30,0.0,0.0,0.0,0.11667,0.0,1.6548
"100260000036264058",ACTIVE30,104.3329,104.3455,1742.15,387.24998,17444.4,0.2301
"100090000029759191",ACTIVE30,70.075,60.8682,29.80001,127.70001,7363.962,2.0274
"100220000035780862",ACTIVE30,5.1474,0.0,0.7,1.6,0.03676,0.2904
"100040000034526393",ACTIVE30,22.9488,17.3909,41.96668,26.73332,0.00084,0.6575
"100190000035064508",ACTIVE30,0.0,0.0,0.0,0.0,0.0,0.3616
"100050000035145931",ACTIVE30,4.25,17.3909,472.03334,64.29999,1878.9684,0.5123
"100150000011649023",ACTIVE30,4.7021,0.0,0.0,3.66666,33.36273,5.9397
"100110000031715419",ACTIVE30,135.4347,156.5181,153.58336,55.66667,0.07933,1.5014
"100020000036377183",ACTIVE30,2.0248,0.0,0.4,0.0,0.03438,0.1890
"100020000034396366",ACTIVE30,0.0,0.0,0.0,0.0,0.0,0.3425
"100170000036936026",ACTIVE30,95.0,99.9977,0.0,0.65,25538.508,0.0849
"100100000029926229",ACTIVE30,0.0,0.0,0.0,0.0,0.0,1.8904
"100080000034342309",ACTIVE30,17.3818,17.3909,1.86667,2.51667,1026.3031,0.7288
"100060000029822606",ACTIVE30,11.04,17.3909,15.68333,0.48333,0.0,2.0055
"100030000031903428",ACTIVE30,0.75,0.0,0.11667,38.61665,0.0,1.4438
"100020000031802967",ACTIVE30,0.0,0.0,0.0,0.0,0.00385,1.4466
